VA_DATE,VOLCANO_NAME,VOLCANO_ID,OBS_DATE,OBS_LOWALT,OBS_HIGHALT,OBS_CONTOUR,FCST+6_DATE,FCST+6_LOWALT,FCST+6_HIGHALT,FCST+6_CONTOUR,FCST+12_DATE,FCST+12_LOWALT,FCST+12_HIGHALT,FCST+12_CONTOUR,FCST+18_DATE,FCST+18_LOWALT,FCST+18_HIGHALT,FCST+18_CONTOUR
201802240103,FUEGO,342090,201802240030,SFC,FL160,N1436W09151N1430W09053N1426W09053N1421W09150N1436W09151,201802240630,SFC,FL160,N1433W09152N1430W09053N1426W09053N1421W09152N1433W09152,201802241230,SFC,FL160,N1431W09152N1430W09053N1425W09053N1419W09152N1431W09152,201802241830,SFC,FL160,N1430W09053N1426W09053N1416W09152N1429W09152N1430W09053
201802231911,FUEGO,342090,201802231830,SFC,FL160,N1429W09053N1427W09052N1406W09144N1426W09155N1429W09053,201802240030,SFC,FL160,N1429W09053N1427W09052N1400W09149N1422W09158N1429W09053,201802240630,SFC,FL160,N1429W09052N1428W09052N1358W09149N1417W09156N1429W09052,201802241230,SFC,FL160,N1429W09052N1427W09052N1359W09149N1417W09156N1429W09052
201802231318,FUEGO,342090,201802231245,SFC,FL160,N1437W09204N1429W09053N1426W09052N1400W09201N1437W09204,201802231900,SFC,FL160,N1429W09203N1429W09052N1426W09052N1357W09201N1429W09203,201802240100,SFC,FL160,N1432W09203N1429W09052N1426W09052N1357W09201N1432W09203,201802240700,SFC,FL160,N1433W09204N1429W09052N1426W09052N1357W09201N1433W09204
201802230800,FUEGO,342090,201802230730,SFC,FL170,N1430W09055N1426W09055N1416W09119N1426W09122N1430W09055,201802231330,SFC,FL170,N1430W09055N1426W09054N1416W09119N1426W09123N1430W09055,201802231930,SFC,FL170,N1431W09056N1426W09054N1415W09119N1426W09122N1431W09056,201802240130,None,None,NO ASH
201802230214,FUEGO,342090,201802230115,SFC,FL170,N1421W09131N1417W09129N1415W09134N1419W09135N1421W09131,201802230730,SFC,FL170,N1430W09053N1414W09111N1427W09116N1430W09053,201802231330,SFC,FL170,N1430W09052N1413W09111N1427W09116N1430W09052,201802231930,None,None,NO ASH
201802222025,FUEGO,342090,201802222000,SFC,FL170,N1410W09221N1400W09216N1358W09231N1410W09230N1410W09221,201802230200,SFC,FL170,N1429W09109N1429W09053N1427W09052N1421W09108N1429W09109,201802230800,SFC,FL170,N1429W09110N1428W09052N1427W09052N1421W09108N1429W09110,201802231400,SFC,FL170,N1430W09113N1429W09052N1427W09052N1420W09113N1430W09113
201802221432,FUEGO,342090,201802221400,SFC,FL170,N1432W09055N1425W09053N1355W09219N1432W09222N1432W09055,201802222000,SFC,FL170,N1431W09054N1425W09053N1356W09219N1430W09222N1431W09054,201802230200,SFC,FL170,N1432W09222N1431W09055N1425W09053N1357W09220N1432W09222,201802230800,SFC,FL170,N1431W09222N1430W09052N1425W09053N1355W09221N1431W09222
201802220841,FUEGO,342090,201802220815,SFC,FL150,N1433W09113N1430W09054N1426W09055N1423W09111N1433W09113,201802221430,SFC,FL150,N1436W09153N1425W09154N1424W09213N1435W09214N1436W09153,201802222030,SFC,FL150,N1434W09112N1430W09053N1427W09055N1424W09110N1434W09112,201802230230,None,None,NO ASH
201802220312,FUEGO,342090,201802220230,SFC,FL150,N1434W09108N1428W09053N1426W09109N1434W09108,201802220830,SFC,FL150,N1437W09113N1428W09053N1425W09113N1437W09113,201802221430,SFC,FL150,N1437W09114N1429W09053N1425W09113N1437W09114,201802222030,None,None,NO ASH
201802212137,FUEGO,342090,201802212115,SFC,FL150,N1435W09055N1428W09053N1428W09053N1434W09058N1435W09055,201802220330,SFC,FL150,N1435W09055N1428W09052N1428W09053N1434W09058N1435W09055,201802220930,SFC,FL150,N1435W09055N1428W09053N1428W09053N1434W09058N1435W09055,201802221530,None,None,NO ASH
